,Total Upvotes,Time Stamp,Total Comments,Upvote Ratio,Submission #ID
863,14660,1456162001.0,221,0.92,471vn1
244,18581,1456702389.0,1961,0.75,486x1u
70,24372,1459977690.0,399,0.8,4dnv9v
310,17993,1460029753.0,664,0.79,4dqo78
45,26890,1460160963.0,880,0.63,4dz6dz
644,15538,1460338491.0,1180,0.71,4e8mxd
205,19287,1461528459.0,664,0.65,4g9rji
158,20722,1461533289.0,161,0.74,4ga47z
378,17312,1462322228.0,1283,0.52,5sq6ia
309,17997,1462491336.0,999,0.73,4i2kqe
858,14673,1462916735.0,798,0.71,4irmm7
443,16836,1465136357.0,1947,0.68,4mnkmb
552,15978,1465694064.0,622,0.75,4no711
61,25070,1465735666.0,1678,0.68,4nq3ib
847,14718,1465735858.0,332,0.69,4nq3uz
385,17284,1465737289.0,984,0.53,5q38ry
687,15380,1465742257.0,688,0.64,4nqhcp
657,15514,1465745885.0,549,0.66,4nqqqa
485,16503,1465750080.0,224,0.69,4nr2ik
169,20238,1465752772.0,1052,0.69,4nra6a
337,17769,1465755888.0,1251,0.68,4nrj12
679,15416,1465756727.0,564,0.68,4nrlja
245,18581,1465757591.0,655,0.67,4nrnyk
451,16771,1465845435.0,799,0.67,4nxa0c
353,17616,1465868094.0,748,0.59,5ggzp9
215,19053,1467733656.0,584,0.67,4rdbkw
675,15425,1467772114.0,399,0.69,4rgc2i
867,14638,1467932488.0,1024,0.74,4rrgtx
780,14973,1468445600.0,883,0.74,4spmbl
951,14328,1469297139.0,927,0.75,4u9aya
556,15977,1469420582.0,706,0.8,4ugs4r
977,14242,1469505481.0,455,0.79,4umq4z
355,17597,1469572946.0,660,0.69,688tbd
626,15593,1469648210.0,260,0.66,4uwhoz
1,42119,1469658502.0,20615,0.73,4uxdbn
336,17770,1469667979.0,482,0.59,4uy37h
242,18598,1469802208.0,1097,0.71,4v6t4t
724,15197,1469876958.0,542,0.68,4vbo4x
261,18417,1473609116.0,2886,0.69,5293v0
442,16835,1473739124.0,425,0.67,52il66
256,18454,1474306937.0,1246,0.69,53irz2
535,16122,1474319346.0,1084,0.72,53jtzx
487,16491,1474333951.0,829,0.7,53kxzz
295,18065,1474544544.0,1799,0.73,53yizf
526,16195,1474598750.0,536,0.66,542p12
392,17225,1474927551.0,19058,0.84,5h8024
530,16168,1475497327.0,1090,0.64,55ndxd
493,16442,1475608389.0,4796,0.64,55v7l5
962,14286,1476073897.0,1035,0.62,56qayf
326,17875,1476720080.0,3560,0.67,57y384
411,17069,1476727472.0,957,0.67,57yt6z
268,18338,1476742993.0,983,0.67,5809hx
283,18140,1476822483.0,718,0.63,5865a7
797,14909,1476923936.0,16253,0.64,58dwen
561,15936,1476930513.0,564,0.67,58egoy
193,19494,1477326896.0,3270,0.63,595hqa
32,29525,1477674496.0,7178,0.7,59vld8
212,19177,1477680915.0,1328,0.66,59w865
405,17119,1478006371.0,363,0.69,5aj01c
794,14907,1478049427.0,392,0.63,5an47m
291,18095,1478112666.0,261,0.75,5arr39
772,15029,1478123140.0,608,0.54,5assc6
149,20952,1478125543.0,190,0.8,5at0ox
294,18078,1478125651.0,748,0.59,5at11x
201,19396,1478134531.0,1102,0.56,5attad
936,14377,1478198514.0,1047,0.55,5ayj9k
692,15361,1478204606.0,2741,0.56,5az5xa
252,18523,1478272042.0,510,0.57,5b42ic
217,19024,1478280943.0,234,0.57,5b4yoc
342,17717,1478287102.0,399,0.58,5b5lax
464,16600,1478299074.0,998,0.53,5b6q9u
531,16168,1478351219.0,444,0.58,5b9t9h
122,21874,1478360893.0,612,0.59,5baihy
923,14434,1478367431.0,185,0.83,5bb2l4
432,16918,1478372559.0,373,0.55,5bbira
954,14314,1478375989.0,170,0.76,5bbtgd
356,17594,1478396047.0,1180,0.53,4urf2q
972,14259,1478409740.0,431,0.54,5bed16
659,15508,1478427842.0,327,0.6,5bf5ll
510,16340,1478436275.0,469,0.63,5bfjoq
495,16434,1478439381.0,465,0.55,5bfqmz
239,18720,1478448688.0,299,0.55,5bggbm
877,14607,1478461871.0,144,0.72,5bhmyl
74,24212,1478468042.0,1448,0.57,5bi7tr
484,16507,1478480138.0,545,0.54,5bj9ow
827,14789,1478483167.0,2798,0.53,5bjixk
804,14877,1478483652.0,211,0.58,5bjkdm
742,15142,1478540010.0,430,0.53,5bni25
399,17147,1478541206.0,1453,0.53,5bnmiu
566,15923,1478547946.0,351,0.54,5boc31
234,18785,1478555206.0,224,0.6,5bp3ev
477,16527,1478558571.0,823,0.53,5bpfq4
329,17853,1478574907.0,586,0.53,5bqve8
761,15068,1478602479.0,34,0.82,5bskg1
733,15170,1478602480.0,19,0.8,5bskg4
740,15145,1478602483.0,32,0.78,5bskg8
546,16057,1478604069.0,726,0.57,5bsnqg
618,15631,1478605518.0,726,0.53,5bsqv6
755,15100,1478606878.0,139,0.69,5bstvf
683,15409,1478622824.0,535,0.76,5bu8jj
56,25521,1478631348.0,452,0.58,5bv52d
779,14981,1478636982.0,601,0.56,5bvq87
227,18871,1478639521.0,346,0.54,5bvzb7
413,17061,1478654867.0,1485,0.55,5bxfk9
759,15076,1478659642.0,183,0.89,5bxue7
263,18410,1478660884.0,183,0.6,5bxy6l
841,14748,1478661703.0,181,0.73,5by0qd
81,23403,1478662665.0,714,0.59,5by3yv
199,19425,1478663554.0,520,0.6,5by739
94,22773,1478663704.0,748,0.59,5by7nr
29,30111,1478663973.0,576,0.74,5by8kp
447,16806,1478664024.0,17571,0.64,5by8rh
133,21423,1478664927.0,386,0.59,5bybr7
170,20235,1478666048.0,560,0.62,5byfi7
444,16837,1478666288.0,175,0.7,5bygg0
202,19370,1478666312.0,964,0.9,5bygiv
46,26871,1478666752.0,2111,0.61,5byi69
836,14759,1478667431.0,183,0.94,5bykfu
5,36412,1478668226.0,15860,0.66,5byneu
302,18040,1478669119.0,3362,0.54,5byqng
206,19274,1478671157.0,295,0.74,5byxnh
102,22596,1478672974.0,1334,0.69,5bz3sk
4,36620,1478673460.0,1678,0.68,5bz5ds
25,30844,1478673857.0,1776,0.67,5bz6uz
467,16570,1478676227.0,1522,0.79,5bzfhc
0,66714,1478677326.0,11977,0.77,5bzjv5
862,14658,1478688361.0,268,0.96,5c0ejz
316,17970,1478698520.0,646,0.72,5c13u3
224,18877,1478699610.0,756,0.63,5c16vw
412,17059,1478699831.0,443,0.63,5c17it
80,23405,1478702043.0,682,0.62,5c1eba
262,18410,1478704507.0,471,0.61,5c1mcv
204,19314,1478713029.0,522,0.63,5c2gi6
12,34370,1478716423.0,1627,0.67,5c2t5d
658,15505,1478717343.0,390,0.8,5c2wg7
598,15732,1478721081.0,1428,0.62,5c39yr
276,18245,1478730758.0,889,0.57,5c47wu
613,15660,1478736223.0,565,0.94,5c4p8m
58,25202,1478752574.0,2714,0.66,5c5zwc
331,17849,1478758246.0,810,0.7,5c6dd2
229,18853,1478773309.0,580,0.69,5c75ti
177,19888,1478777007.0,365,0.69,5c7clq
492,16459,1478779859.0,1150,0.63,5c7ic6
814,14823,1478798574.0,240,0.83,5c91i5
633,15591,1478800051.0,1254,0.72,5c96sd
682,15402,1478801454.0,854,0.87,5c9bt2
69,24458,1478805414.0,942,0.63,5c9pr3
396,17200,1478805699.0,240,0.8,5c9qsc
233,18799,1478812712.0,2367,0.63,5cafd5
13,34300,1478817879.0,1185,0.68,5cax76
721,15213,1478818952.0,319,0.78,5cb0rn
127,21610,1478822617.0,1634,0.59,5cbcgi
817,14815,1478830765.0,464,0.54,5cc0r2
236,18749,1478839651.0,525,0.76,5ccolt
142,21075,1478862913.0,1057,0.67,5cdzhz
190,19535,1478876272.0,1115,0.63,5cevdd
306,18020,1478885246.0,551,0.62,5cfofa
707,15287,1478898416.0,574,0.65,5cgwdw
87,23071,1478907197.0,1617,0.68,5chnro
926,14427,1478911294.0,227,0.89,5chz5o
304,18036,1478917930.0,633,0.58,5cifdv
818,14821,1478945040.0,1038,0.64,5cjtho
473,16549,1478975195.0,631,0.73,5cloej
48,26501,1478986043.0,760,0.64,5cmk62
673,15431,1478986938.0,365,0.62,5cmmqh
859,14669,1478998763.0,707,0.62,5cnj9u
186,19616,1479001564.0,473,0.61,5cnqg1
850,14705,1479014626.0,328,0.72,5cokno
192,19508,1479046777.0,868,0.59,5cq3tg
979,14240,1479055150.0,697,0.65,5cqpc6
67,24667,1479064652.0,423,0.77,5cri6f
699,15328,1479065684.0,169,0.9,5crlgx
105,22513,1479065767.0,1052,0.62,5crlq0
857,14677,1479075265.0,606,0.62,5csfjd
270,18319,1479080352.0,217,0.71,5csujk
